-0.503286635,0.002199093
-0.501019579,0.024175458
-0.49209699,0.046108132
-0.483193819,0.059244435
-0.472067283,0.074565268
-0.465382623,0.087716134
-0.456489162,0.096454252
-0.44313926,0.113959613
-0.432022433,0.12488226
-0.420900752,0.138004
-0.407570268,0.14671299
-0.394244639,0.153222887
-0.37647228,0.164101843
-0.354258044,0.177150765
-0.34092756,0.185859755
-0.318723033,0.194510492
-0.300960383,0.200991262
-0.285421097,0.205287503
-0.26544479,0.209554617
-0.249905505,0.213850858
-0.236589585,0.21596257
-0.212176256,0.220200556
-0.198865191,0.220113175
-0.181112249,0.22219576
-0.158922286,0.224249217
-0.14561122,0.224161836
-0.1212076,0.224001637
-0.101241002,0.223870566
-0.08349777,0.221554965
-0.065754537,0.219239364
-0.052453181,0.214753797
-0.030272926,0.212409069
-0.010311182,0.210078904
0.014082728,0.205520519
0.036258128,0.200976698
0.058428674,0.194233784
0.085036241,0.187461744
0.111643808,0.180689703
0.129377332,0.173975916
0.151543023,0.165033909
0.169281401,0.160519215
0.191447092,0.151577208
0.209180616,0.144863422
0.226914139,0.138149635
0.244642808,0.129236755
0.260157821,0.122537532
0.277891345,0.115823745
0.304489203,0.104653518
0.320004216,0.097954295
0.342160198,0.084614103
0.342160198,0.084614103
0.359888867,0.075701223
0.373185369,0.069016563
0.393132549,0.06008912
0.415293385,0.048948021
0.435240565,0.040020577
0.450750723,0.031122261
0.470688194,0.017796632
0.492844176,0.00445644
0.501708511,0
